"","tx_id","gene_name","gene_id","gene_biotype","type","closest_region","query_region","distance"
"ENST00000222726","ENST00000222726","HOXA5","ENSG00000106004","protein_coding","cds","chr7-27143046-27143607","chr7-27143380-27144267",0
"ENSE00001437513","ENST00000362750","RNA5SP258","ENSG00000199620","rRNA","exon","chr8-26136880-26136998","chr8-26160908-26161858",23909
"ENST00000496677","ENST00000496677","CLDN12","ENSG00000157224","protein_coding","utr","chr7-90403353-90403549","chr7-90403197-90404154",0
"ENST00000636882","ENST00000636882","RILPL1","ENSG00000188026","protein_coding","gap","chr12-123475751-123484179","chr12-123478417-123480001",0
"ENST00000637992","ENST00000637992","RALGAPA1","ENSG00000174373","protein_coding","utr","chr14-35808836-35809214","chr14-35808844-35809787",0
"ENST00000476632","ENST00000476632","PRKAG2","ENSG00000106617","protein_coding","utr","chr7-151632571-151633165","chr7-151632837-151633837",0
"ENST00000580974","ENST00000580974","PITPNC1","ENSG00000154217","protein_coding","utr","chr17-67377459-67378154","chr17-67376689-67377839",0
"ENST00000541916","ENST00000541916","FNDC3A","ENSG00000102531","protein_coding","gap","chr13-49075365-49114654","chr13-49107652-49108773",0
"ENST00000513010","ENST00000513010","S100Z","ENSG00000171643","protein_coding","gap","chr5-76850156-76870165","chr5-76856543-76857468",0
"ENSE00001490824","ENST00000382073","CLEC6A","ENSG00000205846","protein_coding","exon","chr12-8455926-8456142","chr12-8452783-8453832",2093
"ENST00000514121","ENST00000514121","SPOP","ENSG00000121067","protein_coding","utr","chr17-49675895-49676016","chr17-49675972-49676728",0
"ENSE00002540211","ENST00000558575","LINC01220","ENSG00000259687","lincRNA","exon","chr14-75296120-75296638","chr14-75341678-75342389",45039
"ENSE00001928990","ENST00000489867","ENO1","ENSG00000074800","protein_coding","exon","chr1-8878580-8879249","chr1-8889515-8890555",10265
"ENST00000519710","ENST00000519710","STK10","ENSG00000072786","protein_coding","gap","chr5-172127422-172156623","chr5-172130964-172131919",0
"ENSE00001676225","ENST00000414345","LINC00362","ENSG00000229483","lincRNA","exon","chr13-23169835-23170052","chr13-23146603-23147811",22023
"ENST00000305135","ENST00000305135","YEATS2","ENSG00000163872","protein_coding","gap","chr3-183697994-183715143","chr3-183698499-183699412",0
"ENST00000462683","ENST00000462683","YIPF6","ENSG00000181704","protein_coding","cds","chrX-68499067-68499123","chrX-68498419-68499639",0
"ENST00000522568","ENST00000522568","GDAP1","ENSG00000104381","protein_coding","cds","chr8-74350462-74350578","chr8-74349871-74350906",0
"ENST00000518845","ENST00000518845","ZNF292","ENSG00000188994","protein_coding","gap","chr6-87155760-87243474","chr6-87155854-87157164",0
"ENST00000622827","ENST00000622827","CDH23","ENSG00000107736","protein_coding","gap","chr10-71741922-71777679","chr10-71776284-71777204",0
"ENST00000425103","ENST00000425103","KIAA0232","ENSG00000170871","protein_coding","gap","chr4-6842205-6857163","chr4-6853691-6854687",0
"ENST00000371443","ENST00000371443","MRPL41","ENSG00000182154","protein_coding","cds","chr9-137552082-137552495","chr9-137551291-137552309",0
"ENST00000491845","ENST00000491845","C3orf67","ENSG00000163689","protein_coding","utr","chr3-59049935-59049991","chr3-59049636-59050670",0
"ENSE00001388439","ENST00000343905","SOWAHD","ENSG00000187808","protein_coding","exon","chrX-119758613-119760164","chrX-119755835-119756834",1778
"ENSE00001623184","ENST00000422045","AC008440.10","ENSG00000232324","lincRNA","exon","chr19-53864763-53864891","chr19-53851333-53852323",12439
"ENST00000381037","ENST00000381037","CDPF1","ENSG00000205643","protein_coding","utr","chr22-46250256-46250289","chr22-46249670-46251079",0
"ENST00000630925","ENST00000630925","SDCBP","ENSG00000137575","protein_coding","gap","chr8-58561796-58565018","chr8-58563253-58564552",0
"ENST00000216127","ENST00000216127","RASD2","ENSG00000100302","protein_coding","utr","chr22-35552033-35554001","chr22-35572231-35573985",18229
"ENST00000637807","ENST00000637807","RP11-507K12.1","ENSG00000283321","protein_coding","gap","chr7-17340229-17450994","chr7-17369783-17370703",0
"ENST00000377401","ENST00000377401","HIST1H2BL","ENSG00000185130","protein_coding","utr","chr6-27807444-27807525","chr6-27792010-27792972",14471
"ENST00000614549","ENST00000614549","SMAP2","ENSG00000084070","protein_coding","gap","chr1-40393505-40406735","chr1-40394261-40395365",0
"ENST00000509389","ENST00000509389","HMGCL","ENSG00000117305","protein_coding","gap","chr1-23808216-23816674","chr1-23809293-23810306",0
"ENST00000542921","ENST00000542921","JMJD1C","ENSG00000171988","protein_coding","cds","chr10-63206595-63208801","chr10-63206724-63207646",0
