"","tx_id","gene_name","gene_id","gene_biotype","type","closest_region","query_region","distance"
"ENST00000614931","ENST00000614931","PCDH9","ENSG00000184226","protein_coding","gap","chr13-66305029-66631209","chr13-66329880-66330967",0
"ENST00000489607","ENST00000489607","CAPZB","ENSG00000077549","protein_coding","gap","chr1-19385627-19419660","chr1-19398053-19399056",0
"ENSE00002059197","ENST00000514470","CLDN24","ENSG00000185758","protein_coding","exon","chr4-183321764-183322426","chr4-183348858-183349676",26431
"ENST00000492766","ENST00000492766","RERE","ENSG00000142599","protein_coding","gap","chr1-8365975-8422726","chr1-8396862-8398087",0
"ENSE00002027834","ENST00000504074","FAM138D","ENSG00000249054","lincRNA","exon","chr12-36602-37222","chr12-20520-22558",14043
"ENST00000614261","ENST00000614261","ARMC9","ENSG00000135931","protein_coding","gap","chr2-231331898-231344974","chr2-231341886-231342961",0
"ENST00000334512","ENST00000334512","ZMIZ1","ENSG00000108175","protein_coding","gap","chr10-79119025-79139681","chr10-79138761-79139671",0
"ENST00000396144","ENST00000396144","ARHGAP12","ENSG00000165322","protein_coding","gap","chr10-31861659-31908171","chr10-31883098-31884096",0
"ENST00000512079","ENST00000512079","AMACR","ENSG00000242110","protein_coding","cds","chr5-33997270-33997313","chr5-33997049-33998014",0
"ENST00000635100","ENST00000635100","AGAP1","ENSG00000157985","protein_coding","gap","chr2-235494850-235709178","chr2-235555132-235556091",0
"ENST00000559000","ENST00000559000","ZNF280D","ENSG00000137871","protein_coding","gap","chr15-56806423-56827523","chr15-56811875-56812750",0
"ENST00000216117","ENST00000216117","HMOX1","ENSG00000100292","protein_coding","utr","chr22-35393599-35394214","chr22-35396327-35397386",2112
"ENST00000569929","ENST00000569929","PLCG2","ENSG00000197943","protein_coding","gap","chr16-81786183-81854443","chr16-81822709-81823842",0
"ENSE00001659899","ENST00000437145","AC024028.1","ENSG00000228334","lincRNA","exon","chr7-3086352-3086421","chr7-3103688-3104699",17266
"ENST00000541387","ENST00000541387","NFS1","ENSG00000244005","protein_coding","cds","chr20-35699192-35699288","chr20-35698811-35700051",0
"ENST00000446848","ENST00000446848","SNX10","ENSG00000086300","protein_coding","gap","chr7-26292134-26346419","chr7-26305009-26306231",0
"ENST00000609590","ENST00000609590","RP11-517H2.6","ENSG00000272980","processed_transcript","gap","chr6-167044577-167134933","chr6-167094986-167095735",0
