"","tx_id","gene_name","gene_id","gene_biotype","type","closest_region","query_region","distance"
"ENST00000552895","ENST00000552895","NAV3","ENSG00000067798","protein_coding","utr","chr12-78210518-78213008","chr12-78238426-78239712",25417
"ENSE00001488809","ENST00000381493","AC083864.4","ENSG00000205745","lincRNA","exon","chr7-36084472-36085736","chr7-36098193-36099170",12456
"ENST00000619060","ENST00000619060","PHLDA1","ENSG00000139289","protein_coding","cds","chr12-76030536-76031741","chr12-76030842-76032495",0
"ENSE00002539196","ENST00000559752","RP11-96C21.1","ENSG00000259473","lincRNA","exon","chr15-70503907-70504125","chr15-70462693-70463713",40193
"ENST00000241393","ENST00000241393","CXCR4","ENSG00000121966","protein_coding","cds","chr2-136118046-136118060","chr2-136117556-136118576",0
"ENST00000602312","ENST00000602312","SDR42E2","ENSG00000183921","protein_coding","utr","chr16-22190394-22191754","chr16-22195144-22196312",3389
"ENST00000450507","ENST00000450507","NRP2","ENSG00000118257","protein_coding","utr","chr2-205683091-205683290","chr2-205681726-205683147",0
"ENST00000534914","ENST00000534914","LINC00467","ENSG00000153363","lincRNA","gap","chr1-211382926-211391615","chr1-211382339-211383359",0
"ENST00000637138","ENST00000637138","RAP1GAP2","ENSG00000132359","protein_coding","gap","chr17-2998377-3005368","chr17-3003785-3004866",0
"ENST00000634017","ENST00000634017","PITPNB","ENSG00000180957","protein_coding","cds","chr22-27919102-27919127","chr22-27918363-27919956",0
